,,,Kanji List — JLPT N2,,
,,,Provided by Rirekisho Builder,,
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
1,設,セツ,もう.ける,"establishment,",• 設定 → せってい →
,,,,"prepare,",establishment; creation;
,,,,provision,posing (a problem);
,,,,,"setting (movie, novel,"
,,,,,etc.); scene
,,,,,• 設計 → せっけい → plan;
,,,,,design; layout
,,,,,• 設備 → せつび →
,,,,,equipment; facilities;
,,,,,installation;
,,,,,accommodations;
,,,,,conveniences;
,,,,,arrangements
,,,,,• 設立 → せつりつ →
,,,,,establishment; founding
2,菜,サイ,な,"greens, side",• 菜 → さい → side dish
,,,,"dish, vegetable",• 菜 → な → greens;
,,,,,vegetables
,,,,,• 菜園 → さいえん →
,,,,,vegetable garden
,,,,,• 菜食主義者 → さいしょく
,,,,,しゅぎしゃ → vegetarian
3,羽,ウ,"は, はね, わ",counter for,• 羽 → はね → feather;
,,,,"birds, rabbits,",plume; down
,,,,feathers,• 羽 → わ → counter for
,,,,,birds or rabbits
,,,,,• 羽 → う → fifth degree
,,,,,(of the Japanese and
,,,,,Chinese pentatonic scale)
,,,,,• 葉書 → はがき →
,,,,,postcard
4,肩,ケン,かた,shoulder,• 肩 → かた → shoulder
,,,,,• 肩こり → かたこり → stiff
,,,,,neck; stiff shoulders
,,,,,• 肩書き → かたがき →
,,,,,"title (e.g. Doctor,"
,,,,,"Professor, Lord); job title;"
,,,,,position (in a company);
,,,,,degree; status; rank
,,,,,• 肩幅 → かたはば →
,,,,,shoulder width (breadth)
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
5,査,サ,,investigate,• 査定 → さてい →
,,,,,"assessment (of value,"
,,,,,"damages, etc.); revision"
,,,,,(of a budget)
,,,,,• 査察 → ささつ →
,,,,,inspection (for
,,,,,compliance);
,,,,,"investigation (tax, etc.)"
,,,,,• 査証 → さしょう → visa
,,,,,• 査問 → さもん → inquiry;
,,,,,enquiry; hearing
6,党,トウ,"なかま, むら","clique, faction,",• 党 → とう → party
,,,,party,(political)
,,,,,• 屯 → たむろ → gathering;
,,,,,place where people
,,,,,gather
,,,,,• 党首 → とうしゅ → party
,,,,,leader
,,,,,• 党員 → とういん → party
,,,,,member
7,協,キョウ,,"co-,",• 共同 → きょうどう →
,,,,cooperation,cooperation;
,,,,,collaboration;
,,,,,association; partnership;
,,,,,(acting in) unison
,,,,,• 協力 → きょうりょく →
,,,,,cooperation;
,,,,,collaboration; help;
,,,,,support
,,,,,• 協定 → きょうてい →
,,,,,arrangement; pact;
,,,,,agreement
,,,,,• 協会 → きょうかい →
,,,,,association; society;
,,,,,organization;
,,,,,organisation
8,総,ソウ,"す.べて, すべ.て, ふ","all, full,",• 総 → そう → whole;
,,,さ,"general, total,",total; gross; entire;
,,,,whole,"overall; general (election,"
,,,,,"manager, etc.)"
,,,,,"• 房 → ふさ → tuft (of hair,"
,,,,,"threads, etc.); fringe;"
,,,,,tassel
,,,,,• 全て → すべて →
,,,,,everything; all; the whole
,,,,,• 総理大臣 → そうりだいじ
,,,,,ん → prime minister (as
,,,,,the head of a cabinet
,,,,,government); premier
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
9,区,"オウ, ク, コウ",,"district, ward",• 区 → く → ward;
,,,,,borough; city (in Tokyo)
,,,,,• 区別 → くべつ →
,,,,,distinction;
,,,,,differentiation;
,,,,,discrimination; difference
,,,,,• 区域 → くいき → area;
,,,,,zone; district; quarter;
,,,,,section; limits; boundary
,,,,,• 区分 → くぶん →
,,,,,division; section;
,,,,,demarcation; partition;
,,,,,segmentation;
,,,,,compartment; (traffic)
,,,,,lane
10,領,リョウ,えり,"dominion, fief,",• 襟 → えり → collar; lapel;
,,,,"jurisdiction,",neckband; neck
,,,,"reign, territory",• 領 → りょう → territory
,,,,,"(of country, feudal"
,,,,,"domain, etc.)"
,,,,,• 領土 → りょうど →
,,,,,territory; domain;
,,,,,dominion; possession
,,,,,• 領域 → りょういき →
,,,,,territory; domain
11,県,ケン,か.ける,prefecture,• 県 → けん → prefecture
,,,,,(of Japan); county (of
,,,,,"China, Taiwan, Norway,"
,,,,,etc.); department (of
,,,,,"France); province (of Italy,"
,,,,,"Spain, etc.)"
,,,,,• 県 → あがた → territory
,,,,,(pre-Taika: under the
,,,,,Yamato court; Heian:
,,,,,under a provincial
,,,,,"governor, etc.)"
,,,,,• 県知事 → けんちじ →
,,,,,prefectural governor
,,,,,• 県道 → けんどう →
,,,,,prefectural road
12,改,カイ,"あらた.まる, あらた.","change,",• 改 → かい → revision
,,,める,"examine,",• 改善 → かいぜん →
,,,,"inspect, mend,",betterment; improvement
,,,,"modify,",• 改札 → かいさつ →
,,,,"reformation,",examination of tickets
,,,,"renew, search",• 改革 → かいかく →
,,,,,reform; reformation;
,,,,,reorganization
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
13,府,フ,,"borough, govt",• 府 → ふ → (urban)
,,,,"office,",prefecture (i.e. Osaka and
,,,,representative,Kyoto)
,,,,"body,",• 府県 → ふけん →
,,,,"storehouse,","prefectures (of Japan,"
,,,,urban,excl. Tokyo and
,,,,prefecture,Hokkaido)
,,,,,• 府立 → ふりつ →
,,,,,prefectural; managed by
,,,,,an urban prefecture
,,,,,(Osaka or Kyoto)
,,,,,• 府警 → ふけい →
,,,,,prefectural police (Osaka
,,,,,or Kyoto)
14,委,イ,ゆだ.ねる,"committee,",• 委 → い → committee;
,,,,"devote,",commission; board; panel
,,,,"discard,",• 詳しい → くわしい →
,,,,"entrust to,",detailed; full; minute
,,,,leave to,• 委員 → いいん →
,,,,,committee member
,,,,,• 任せる → まかせる → to
,,,,,"leave (a matter, decision,"
,,,,,etc. to someone); to
,,,,,entrust (to someone); to
,,,,,entrust (someone) with
15,軍,グン,いくさ,"army, battle,",• 軍 → ぐん → army;
,,,,"force, troops,",armed forces; troops
,,,,war,• 戦 → いくさ → war;
,,,,,battle; campaign; fight
,,,,,• 軍隊 → ぐんたい →
,,,,,armed forces; military;
,,,,,troops
,,,,,• 軍事 → ぐんじ → military
,,,,,affairs
16,団,"ダン, トン","かたまり, まる.い","association,",• 団 → だん → group;
,,,,group,body; party; company;
,,,,,troupe; gang; corps; ring
,,,,,• 団体 → だんたい →
,,,,,group; party; team
,,,,,• 団扇 → うちわ → uchiwa;
,,,,,type of traditional
,,,,,Japanese handheld fan
,,,,,• 団結 → だんけつ → unity;
,,,,,union; solidarity;
,,,,,combination; banding
,,,,,together; teaming up
17,各,カク,おのおの,"each, either,",• 各 → かく → each; every;
,,,,every,all
,,,,,• 其れ其れ → それぞれ →
,,,,,each; respectively
,,,,,• 各々 → おのおの → each
,,,,,• 各自 → かくじ → each
,,,,,(person); everyone;
,,,,,individual; respective
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
18,島,トウ,しま,island,• 島 → しま → island
,,,,,• 島 → とう → Island
,,,,,• 島国 → しまぐに →
,,,,,island country
,,,,,• 島々 → しまじま →
,,,,,islands
19,革,カク,かわ,become,• 革 → かわ → leather
,,,,"serious,",• 作り皮 → つくりかわ →
,,,,"leather,",leather; tanned animal
,,,,"reform, skin",hide
,,,,,• 鞄 → かばん → bag;
,,,,,satchel; briefcase; basket
,,,,,• 革命 → かくめい →
,,,,,revolution
20,村,ソン,むら,"town, village",• 村 → むら → village
,,,,,• 村落 → そんらく →
,,,,,village; hamlet;
,,,,,settlement
,,,,,• 村人 → むらびと →
,,,,,villager
,,,,,• 村民 → そんみん →
,,,,,villager
21,勢,"セイ,ゼイ","いきお.い, はずみ","energy, forces,",• 勢い → いきおい → force;
,,,,military,vigor; vigour; energy;
,,,,strength,spirit; life
,,,,,• 弾み → はずみ →
,,,,,bounce; spring; rebound
,,,,,• 勢 → ぜい → group (of
,,,,,"people, players,"
,,,,,"companies, etc.); camp;"
,,,,,team
,,,,,• 勢 → せい → strength;
,,,,,power; energy
22,減,ゲン,"へ.らす,へ.る","curtail, decline,",• 減 → げん → reduction;
,,,,"decrease,",decrease
,,,,"dwindle, get",• 減る → へる → to
,,,,"hungry, reduce",decrease (in size or
,,,,,number); to diminish; to
,,,,,abate
,,,,,• 減らす → へらす → to
,,,,,abate; to decrease; to
,,,,,diminish; to shorten
,,,,,• 減少 → げんしょう →
,,,,,decrease; reduction;
,,,,,decline
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
23,再,"サ, サイ",ふたた.び,"again, second",• 再 → さい → re-; again
,,,,"time, twice",• 再来年 → さらいねん →
,,,,,year after next
,,,,,• 再建 → さいけん →
,,,,,rebuilding;
,,,,,reconstruction;
,,,,,rehabilitation
,,,,,• 再来週 → さらいしゅう →
,,,,,week after next
24,税,ゼイ,,"duty, tax",• 税 → ぜい → tax
,,,,,• 税関 → ぜいかん →
,,,,,customs; customs house
,,,,,• 税金 → ぜいきん → tax;
,,,,,duty
,,,,,• 税務署 → ぜいむしょ →
,,,,,tax office
25,営,エイ,"いとな.み, いとな.む","build, camp,",• 営業 → えいぎょう →
,,,,conduct,business; trade;
,,,,"(business),",operations
,,,,perform,• 栄養 → えいよう →
,,,,,nutrition; nourishment
,,,,,• 営む → いとなむ → to
,,,,,run (a business); to
,,,,,operate; to conduct; to
,,,,,"practice (law, medicine,"
,,,,,etc.)
,,,,,• 営利 → えいり → money-
